06/10/2025|21:28|SAIDA     |00009|                    |00019|00018|00000000000000000|00000000000023000
06/10/2025|21:29|SAIDA     |00009|                    |00018|00017|00000000000000000|00000000000023000
06/10/2025|21:30|SAIDA     |00009|FONTE 500W          |00017|00016|00000000000000000|00000000000023000
06/10/2025|21:31|ENTRADA   |00009|                    |00016|00017|00000000000023000|00000000000023500
06/10/2025|21:32|ENTRADA   |00009|FONTE 500W          |00017|00018|00000000000023500|00000000000023600
06/10/2025|21:33|EXCLUIR   |00001|NOTEBOOK ACCER      |00001|00000|00000000000350000|00000000000000000
06/10/2025|21:36|CADASTRAR |00010|FONTE 500W X21      |00000|00010|00000000000000000|00000000000006000
06/10/2025|21:37|SAIDA     |00010|FONTE 500W X21      |00010|00009|00000000000000000|00000000000006000
06/10/2025|21:53|CADASTRAR |00016|TABLET SAMSUNG 8POL |00000|00005|00000000000000000|00000000000035000
06/10/2025|21:54|CADASTRAR |00014|TECLADO WIFI ABNT2  |00000|00032|00000000000000000|00000000000008000
06/10/2025|21:55|ENTRADA   |00010|FONTE 500W X21      |00009|00014|00000000000006000|00000000000006500
06/10/2025|21:55|SAIDA     |00019|WEBCAM LOGITECH 4   |00004|00003|00000000000000000|00000000000034900
06/10/2025|21:55|EXCLUIR   |00015|CABO USB-C          |00002|00000|00000000000000199|00000000000000000
06/10/2025|21:56|EXCLUIR   |00019|WEBCAM LOGITECH 4   |00003|00000|00000000000034900|00000000000000000
13/10/2025|21:27|EXCLUIR   |00014|TECLADO WIFI ABNT2  |00032|00000|00000000000008000|00000000000000000
13/10/2025|21:29|ENTRADA   |00014|TECLADO WIFI ABNT2  |00032|00042|00000000000008000|00000000000008200
13/10/2025|21:30|EXCLUIR   |00010|FONTE 500W X21      |00014|00000|00000000000006500|00000000000000000
13/10/2025|21:32|EXCLUIR   |00010|FONTE 500W X21      |00014|00000|00000000000006500|00000000000000000
13/10/2025|21:33|ENTRADA   |00010|FONTE 500W X21      |00014|00019|00000000000006500|00000000000006800
13/10/2025|21:37|EXCLUIR   |00004|HD 1TB              |00015|00000|00000000000239900|00000000000000000
13/10/2025|21:39|CADASTRAR |00002|JOYSTICK PC GAMER   |00000|00005|00000000000000000|00000000000023000
13/10/2025|21:40|EXCLUIR   |00009|FONTE 500W          |00018|00000|00000000000023600|00000000000000000
